epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8713.55,0.95973,0.92815,1.30525,0.81791,0.72476,0.80555,0.55915,1.19677,0.87654,1.53481,0.00033032,0.00033032,0.00033032
43,8920.58,0.94662,0.91245,1.28974,0.83666,0.70951,0.79877,0.56233,1.1802,0.88374,1.52434,0.000324815,0.000324815,0.000324815
44,9127.83,0.92543,0.90213,1.27968,0.81643,0.74961,0.81002,0.56973,1.162,0.86572,1.50161,0.000319311,0.000319311,0.000319311
45,9335.55,0.91597,0.87501,1.2685,0.84795,0.73156,0.81876,0.57099,1.15405,0.85978,1.5033,0.000313806,0.000313806,0.000313806
46,9542.81,0.9097,0.85588,1.26287,0.84273,0.72571,0.80786,0.57195,1.15691,0.86799,1.49633,0.000308302,0.000308302,0.000308302
47,9749.67,0.91318,0.85369,1.26606,0.85515,0.74124,0.81757,0.58481,1.14836,0.83738,1.48367,0.000302798,0.000302798,0.000302798
48,9956.89,0.88315,0.83539,1.24534,0.84666,0.73929,0.8111,0.58128,1.13696,0.84656,1.48351,0.000297293,0.000297293,0.000297293
49,10163.8,0.87732,0.80836,1.23479,0.85532,0.7464,0.82542,0.60292,1.1209,0.82956,1.47779,0.000291789,0.000291789,0.000291789
50,10370.9,0.87257,0.82189,1.24422,0.83668,0.74309,0.81836,0.59716,1.13178,0.83797,1.48405,0.000286284,0.000286284,0.000286284
51,10578.3,0.8508,0.79963,1.21702,0.83636,0.76884,0.83418,0.60839,1.10778,0.80388,1.46239,0.00028078,0.00028078,0.00028078
52,10785.9,0.85867,0.78578,1.222,0.88234,0.7305,0.82698,0.60958,1.10256,0.80242,1.45461,0.000275276,0.000275276,0.000275276
53,10993.3,0.83488,0.76335,1.20941,0.83897,0.76561,0.82152,0.60998,1.09587,0.80976,1.44671,0.000269771,0.000269771,0.000269771
54,11200.8,0.82168,0.74233,1.19946,0.88081,0.74155,0.83211,0.61757,1.09055,0.78025,1.45669,0.000264267,0.000264267,0.000264267
55,11408.5,0.80972,0.72554,1.19323,0.86591,0.74643,0.8295,0.6086,1.09419,0.78938,1.46664,0.000258762,0.000258762,0.000258762
56,11615.8,0.80983,0.72953,1.19224,0.88503,0.73909,0.82752,0.61656,1.08791,0.78723,1.45003,0.000253258,0.000253258,0.000253258
57,11823,0.79176,0.70315,1.18292,0.88036,0.7403,0.82608,0.61803,1.08247,0.76279,1.45638,0.000247754,0.000247754,0.000247754
58,12030.4,0.78892,0.7117,1.17728,0.85735,0.76713,0.82524,0.62398,1.06876,0.76318,1.43454,0.000242249,0.000242249,0.000242249
59,12237.9,0.78249,0.69502,1.16689,0.89461,0.74351,0.83253,0.62934,1.05736,0.74718,1.42824,0.000236745,0.000236745,0.000236745
60,12445.5,0.76095,0.67457,1.16247,0.86003,0.76971,0.83568,0.62615,1.07002,0.75357,1.44799,0.00023124,0.00023124,0.00023124
61,12652.7,0.75596,0.67645,1.15156,0.88245,0.76569,0.83759,0.6325,1.06807,0.73793,1.44008,0.000225736,0.000225736,0.000225736
62,12859.8,0.7506,0.6633,1.15157,0.85279,0.77852,0.83854,0.63662,1.04695,0.75581,1.42478,0.000220232,0.000220232,0.000220232
63,13067.1,0.74539,0.6547,1.14504,0.87511,0.76294,0.8332,0.63664,1.04338,0.75736,1.42442,0.000214727,0.000214727,0.000214727
64,13274.2,0.73159,0.64432,1.14141,0.87144,0.77562,0.83936,0.64525,1.02089,0.75066,1.40363,0.000209223,0.000209223,0.000209223
65,13481.7,0.7308,0.644,1.1388,0.90721,0.74254,0.83924,0.64214,1.0363,0.74619,1.41832,0.000203718,0.000203718,0.000203718
66,13688.8,0.72056,0.62549,1.13358,0.86871,0.76635,0.84219,0.64669,1.03189,0.74378,1.42385,0.000198214,0.000198214,0.000198214
67,13896.7,0.71274,0.62438,1.13249,0.87842,0.76953,0.84109,0.64841,1.01266,0.74845,1.40291,0.00019271,0.00019271,0.00019271
68,14104.4,0.70758,0.62334,1.12581,0.89385,0.75846,0.83724,0.6512,1.01566,0.73894,1.40728,0.000187205,0.000187205,0.000187205
69,14312.1,0.69423,0.60745,1.11841,0.90948,0.74282,0.83907,0.65108,1.01148,0.74912,1.40301,0.000181701,0.000181701,0.000181701
70,14519.5,0.6811,0.58629,1.10587,0.89351,0.75975,0.83873,0.64821,1.01992,0.73477,1.4065,0.000176196,0.000176196,0.000176196
71,14727.1,0.68618,0.59748,1.1141,0.85893,0.77517,0.83318,0.65095,1.00612,0.73034,1.3989,0.000170692,0.000170692,0.000170692
72,14934.4,0.66479,0.56192,1.0952,0.90018,0.74743,0.83599,0.65505,1.01189,0.74775,1.3981,0.000165188,0.000165188,0.000165188
73,15142.1,0.66518,0.55843,1.09231,0.85943,0.78155,0.83609,0.65064,1.01362,0.72067,1.40612,0.000159683,0.000159683,0.000159683
74,15349.3,0.66632,0.57141,1.09827,0.86454,0.78281,0.83766,0.65786,1.00018,0.72708,1.40041,0.000154179,0.000154179,0.000154179
75,15556.5,0.6576,0.55169,1.0871,0.83941,0.80115,0.83788,0.65712,1.00454,0.71396,1.40184,0.000148674,0.000148674,0.000148674
76,15764,0.64013,0.53905,1.08154,0.87722,0.77818,0.84568,0.66448,0.993,0.71445,1.39468,0.00014317,0.00014317,0.00014317
77,15971.7,0.638,0.53918,1.07688,0.88751,0.77031,0.84197,0.66369,0.98297,0.72015,1.38487,0.000137666,0.000137666,0.000137666
78,16179,0.6384,0.53885,1.0752,0.9017,0.76264,0.84234,0.67097,0.97955,0.71669,1.38413,0.000132161,0.000132161,0.000132161
79,16386.7,0.62666,0.52101,1.07031,0.86604,0.79159,0.84737,0.66975,0.98434,0.69726,1.39549,0.000126657,0.000126657,0.000126657
80,16593.9,0.6146,0.51996,1.0667,0.8675,0.7912,0.84284,0.66752,0.97438,0.6998,1.38802,0.000121152,0.000121152,0.000121152
81,16801.5,0.61788,0.50866,1.05894,0.88227,0.77237,0.84182,0.66818,0.9709,0.71879,1.38413,0.000115648,0.000115648,0.000115648
82,17008.9,0.61966,0.51516,1.06432,0.88685,0.77424,0.83945,0.67063,0.96616,0.72232,1.38355,0.000110144,0.000110144,0.000110144
83,17215.9,0.60275,0.50111,1.05991,0.85409,0.79178,0.84085,0.67117,0.96839,0.72025,1.38588,0.000104639,0.000104639,0.000104639
84,17423.4,0.59806,0.49976,1.05195,0.86061,0.79595,0.84649,0.67576,0.96854,0.71238,1.38572,9.91348e-05,9.91348e-05,9.91348e-05
85,17630.7,0.59234,0.49594,1.04904,0.90243,0.75359,0.84238,0.67735,0.96418,0.71144,1.38022,9.36304e-05,9.36304e-05,9.36304e-05
86,17837.9,0.58143,0.48735,1.04506,0.8868,0.76639,0.83956,0.67711,0.96109,0.72358,1.37828,8.8126e-05,8.8126e-05,8.8126e-05
87,18044.9,0.5821,0.48501,1.04475,0.88426,0.76481,0.84196,0.67963,0.95894,0.71382,1.38035,8.26216e-05,8.26216e-05,8.26216e-05
88,18252.2,0.57714,0.47524,1.04183,0.87873,0.77908,0.84109,0.68214,0.95114,0.71012,1.37076,7.71172e-05,7.71172e-05,7.71172e-05
89,18459.2,0.56548,0.47073,1.03817,0.88723,0.76956,0.84237,0.68132,0.94993,0.70824,1.36977,7.16128e-05,7.16128e-05,7.16128e-05
90,18666.4,0.56332,0.45978,1.03273,0.89151,0.76387,0.84193,0.68348,0.94689,0.71633,1.3673,6.61084e-05,6.61084e-05,6.61084e-05
91,18873.9,0.47892,0.30377,0.98075,0.88379,0.76952,0.84015,0.68001,0.94631,0.71112,1.36664,6.0604e-05,6.0604e-05,6.0604e-05
92,19080.1,0.45747,0.28318,0.96995,0.89064,0.76552,0.84166,0.68308,0.94876,0.71383,1.3742,5.50996e-05,5.50996e-05,5.50996e-05
93,19285.1,0.45018,0.27353,0.95786,0.87602,0.77728,0.84146,0.6841,0.94761,0.71121,1.37518,4.95952e-05,4.95952e-05,4.95952e-05
94,19491.4,0.43977,0.26768,0.95551,0.88371,0.77424,0.84215,0.68627,0.94105,0.71223,1.37031,4.40908e-05,4.40908e-05,4.40908e-05
95,19697.7,0.42893,0.26231,0.94597,0.87937,0.77461,0.84021,0.68679,0.93554,0.71993,1.37118,3.85864e-05,3.85864e-05,3.85864e-05
96,19903.8,0.43032,0.26141,0.94923,0.88597,0.77694,0.84182,0.68693,0.93909,0.71756,1.37712,3.3082e-05,3.3082e-05,3.3082e-05
97,20110.3,0.415,0.24941,0.94096,0.89077,0.77345,0.84015,0.68813,0.93462,0.72901,1.3741,2.75776e-05,2.75776e-05,2.75776e-05
98,20316.8,0.41083,0.25104,0.9349,0.87915,0.77718,0.84176,0.69148,0.93096,0.73643,1.37371,2.20732e-05,2.20732e-05,2.20732e-05
99,20523.2,0.40568,0.24521,0.93264,0.89807,0.76396,0.83978,0.69155,0.93216,0.73675,1.3763,1.65688e-05,1.65688e-05,1.65688e-05
100,20729.5,0.41016,0.24812,0.93517,0.90055,0.76246,0.83974,0.69273,0.93199,0.74037,1.37878,1.10644e-05,1.10644e-05,1.10644e-05
